Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",mostUsedSocmed
194,1,13,14,4,5,2,14,7,1,5,4,2,1,5,5,2,3,4,4,13
162,1,11,19,2,2,16,32,7,2,3,4,2,1,3,3,1,2,3,4,11
87,1,13,28,2,2,40,41,7,1,2,4,2,2,4,4,4,2,2,4,13
536,1,11,24,3,3,61,42,6,1,0,1,1,1,1,0,1,0,1,5,11
518,1,5,14,1,4,2,42,6,3,2,2,1,1,2,2,1,2,1,5,5
135,1,11,25,2,2,61,11,7,2,1,4,1,1,4,5,3,1,2,4,11
77,1,13,31,4,2,61,41,7,1,3,3,3,3,3,3,3,3,3,4,13
16,1,5,12,1,4,2,10,6,1,3,3,1,1,4,4,2,4,5,1,5
64,1,11,11,3,4,80,50,6,3,4,3,1,1,2,2,2,2,2,3,11
453,1,5,14,3,4,2,46,6,3,4,5,2,3,5,5,0,1,2,6,5
434,1,5,10,1,4,2,46,6,1,5,5,4,4,5,5,0,5,2,6,5
573,1,5,22,1,1,48,46,6,1,2,2,1,2,1,2,1,2,1,5,5
76,1,15,4,2,5,2,36,7,1,3,4,1,1,3,5,2,3,3,4,15
480,1,11,12,1,4,2,42,6,1,4,2,3,2,2,3,1,1,0,5,11
469,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1,12,19,3,1,38,46,6,3,3,3,2,3,3,4,3,2,2,5,12
328,1,5,14,1,4,2,42,6,1,3,3,0,1,5,5,2,3,5,5,5
458,1,11,14,3,4,2,46,6,1,4,3,4,3,4,3,4,3,4,6,11
462,1,11,19,1,1,32,46,3,3,4,3,4,3,5,3,4,3,5,6,11
483,1,11,12,1,4,2,46,6,3,5,5,4,4,3,3,2,2,1,6,11
344,1,12,14,3,4,2,46,6,3,5,4,1,1,4,4,2,1,3,6,12
528,1,12,18,1,4,2,42,8,1,3,3,3,3,2,2,2,2,1,5,12
392,1,11,11,1,4,2,42,6,1,5,5,5,5,5,2,4,5,5,6,11
499,1,12,14,3,4,2,42,3,3,4,4,2,2,3,3,1,1,1,6,12
191,1,13,26,2,8,2,25,7,2,4,3,3,3,3,3,3,3,3,4,13
496,1,12,24,3,1,44,46,6,1,3,4,4,4,3,4,4,4,5,6,12
418,1,12,8,1,4,2,46,6,3,5,5,3,3,4,4,1,4,1,6,12
181,1,13,23,4,2,25,69,7,1,4,4,2,3,2,3,2,2,3,2,13
521,1,11,18,3,3,25,46,3,3,5,4,4,4,5,5,4,3,3,6,11
504,1,11,12,3,4,2,46,3,1,5,5,1,1,4,4,2,3,3,6,11
400,1,11,12,1,4,2,42,6,1,3,2,3,2,3,2,3,2,3,6,11
495,1,11,30,1,3,72,46,6,3,3,3,2,1,5,5,4,4,3,6,11
519,1,11,14,1,1,23,42,6,1,3,2,3,2,2,1,1,1,1,5,11
547,1,5,18,1,1,22,42,6,1,4,4,5,4,4,4,3,3,4,5,5
321,1,11,14,3,4,2,46,6,1,4,5,2,1,3,3,2,3,2,6,11
358,1,11,2,3,4,2,42,6,1,5,5,3,3,5,3,4,3,5,6,11
167,1,13,18,2,2,17,11,7,1,4,2,3,3,4,4,3,2,3,2,13
489,1,12,23,1,1,40,46,3,3,5,4,2,3,2,3,4,4,4,5,12
488,1,11,10,1,4,2,42,6,1,5,3,3,4,4,3,4,3,4,5,11
339,1,11,11,3,4,2,42,6,1,5,4,3,3,4,5,5,5,4,6,11
228,1,5,14,2,5,2,61,7,2,5,5,3,2,4,3,2,4,2,4,5
554,1,12,14,1,4,2,42,6,3,3,3,3,3,2,3,3,2,3,5,12
117,1,12,14,2,5,2,58,7,2,4,4,1,1,2,4,1,2,1,2,12
284,1,5,40,3,1,21,46,6,1,3,4,3,3,4,4,3,2,2,5,5
28,1,5,11,3,4,2,52,6,1,5,4,3,3,4,3,3,3,3,1,5
85,1,11,4,2,5,2,39,7,2,3,4,3,4,3,3,2,3,3,4,11
488,1,5,12,3,4,2,46,8,3,4,2,4,3,4,3,5,4,4,6,5
513,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,13,64,4,2,69,38,7,2,4,4,2,1,3,3,2,1,1,4,13
139,1,11,11,2,5,2,54,7,1,5,4,2,1,4,4,2,3,2,2,11
346,1,5,20,1,1,16,46,8,3,5,5,2,2,5,5,3,3,3,6,5
351,1,5,9,3,4,2,46,6,3,5,5,1,1,4,5,2,2,5,6,5
504,1,12,27,1,1,67,46,8,3,2,2,1,0,2,2,1,1,5,6,12
529,1,5,21,1,1,27,42,6,1,2,1,1,1,0,0,1,0,0,5,5
522,1,11,18,1,4,2,46,8,1,3,3,1,1,2,3,1,1,3,5,11
504,1,5,37,1,3,75,42,8,1,3,1,1,1,4,4,2,4,3,6,5
160,1,2,35,2,2,81,39,7,2,5,5,3,3,4,4,4,3,3,4,2
107,1,12,18,2,5,2,67,7,2,5,5,3,4,5,5,3,3,2,4,12
426,1,11,14,3,4,2,42,6,3,4,5,2,2,4,4,0,2,3,6,11
521,1,5,14,3,4,2,46,3,1,3,2,3,2,3,3,2,3,1,5,5
253,1,5,12,1,4,2,46,6,3,4,4,0,0,5,5,0,5,5,6,5
533,1,12,20,1,1,35,46,8,3,3,2,2,3,2,2,1,1,1,5,12
285,1,12,25,3,1,27,42,6,1,5,0,1,2,0,0,0,2,1,5,12
559,1,5,19,3,1,38,46,6,3,3,3,4,4,3,3,3,2,3,5,5
521,1,12,14,1,3,2,46,6,3,3,2,4,3,3,2,1,2,2,5,12
223,1,11,14,2,5,2,54,7,2,5,4,4,5,5,2,2,5,5,2,11
32,1,11,12,1,4,2,51,6,3,3,3,3,3,3,3,3,3,3,3,11
186,1,13,47,4,2,21,33,4,2,2,2,2,2,2,2,2,1,2,2,13
43,1,13,14,1,4,2,10,6,1,5,5,3,3,4,4,3,3,3,1,13
340,1,12,19,1,1,15,46,6,3,5,5,4,4,4,5,4,2,4,6,12
62,1,11,14,3,4,2,9,6,3,4,4,2,2,2,2,2,2,2,3,11
565,1,12,19,3,1,40,46,6,3,3,4,4,4,4,5,4,4,4,5,12
211,1,11,11,2,5,2,10,7,1,4,4,1,1,4,4,2,1,4,4,11
414,1,11,9,1,4,2,46,6,3,5,5,5,5,5,5,1,5,2,6,11
